date,5–15 min,15–30 min,30–60 min,60–180 min,≥180 min,bucketed_total,lt_5_min,all_gaps_total
2005-06-02,5.0000,1.0000,,,0,6.0000,183.0000,189
2005-06-03,1.0000,,,,0,1.0000,88.0000,89
2005-06-05,5.0000,,,,0,5.0000,92.0000,97
2005-06-06,8.0000,1.0000,,,0,9.0000,241.0000,250
2005-06-07,6.0000,1.0000,,,0,7.0000,232.0000,239
2005-06-08,3.0000,1.0000,,,0,4.0000,222.0000,226
2005-06-09,4.0000,1.0000,,,0,5.0000,209.0000,214
2005-06-12,4.0000,,,,0,4.0000,76.0000,80
2005-06-13,1.0000,1.0000,,,0,2.0000,137.0000,139
2005-06-14,4.0000,1.0000,,,0,5.0000,187.0000,192
2005-06-15,5.0000,1.0000,,,0,6.0000,180.0000,186
2005-06-16,5.0000,1.0000,,,0,6.0000,187.0000,193
2005-06-17,2.0000,,,,0,2.0000,77.0000,79
2005-06-19,1.0000,,,,0,1.0000,73.0000,74
2005-06-20,4.0000,1.0000,,,0,5.0000,200.0000,205
2005-06-21,,1.0000,,,0,1.0000,169.0000,170
2005-06-22,4.0000,1.0000,,,0,5.0000,200.0000,205
2005-06-23,3.0000,1.0000,,,0,4.0000,182.0000,186
2005-06-24,1.0000,,,,0,1.0000,81.0000,82
2005-06-26,8.0000,,,,0,8.0000,79.0000,87
2005-06-27,5.0000,1.0000,,,0,6.0000,222.0000,228
2005-06-28,7.0000,1.0000,,,0,8.0000,189.0000,197
2005-06-29,3.0000,1.0000,,,0,4.0000,202.0000,206
2005-06-30,2.0000,,,,0,2.0000,86.0000,88
2005-07-03,1.0000,,,,0,1.0000,62.0000,63
2005-07-04,2.0000,,,,0,2.0000,114.0000,116
2005-07-05,6.0000,1.0000,,,0,7.0000,206.0000,213
2005-07-06,2.0000,1.0000,,,0,3.0000,200.0000,203
2005-07-07,8.0000,1.0000,,,0,9.0000,183.0000,192
2005-07-10,7.0000,,,,0,7.0000,81.0000,88
2005-07-11,3.0000,1.0000,,,0,4.0000,178.0000,182
2005-07-12,3.0000,1.0000,,,0,4.0000,143.0000,147
2005-07-13,2.0000,1.0000,,,0,3.0000,171.0000,174
2005-07-14,8.0000,1.0000,,,0,9.0000,194.0000,203
2005-07-15,3.0000,,,,0,3.0000,145.0000,148
2005-07-17,10.0000,,,,0,10.0000,96.0000,106
2005-07-18,10.0000,1.0000,,,0,11.0000,233.0000,244
2005-07-19,3.0000,1.0000,,,0,4.0000,151.0000,155
2005-07-20,1.0000,1.0000,,,0,2.0000,145.0000,147
2005-07-21,2.0000,1.0000,,,0,3.0000,110.0000,113
2005-07-24,3.0000,,,,0,3.0000,85.0000,88
2005-07-25,4.0000,1.0000,,,0,5.0000,211.0000,216
2005-07-26,1.0000,,1.0000,,0,2.0000,174.0000,176
2005-07-27,4.0000,1.0000,1.0000,,0,6.0000,180.0000,186
2005-07-28,4.0000,,1.0000,,0,5.0000,187.0000,192
2005-07-29,2.0000,,,,0,2.0000,105.0000,107
2005-07-31,3.0000,,,,0,3.0000,84.0000,87
2005-08-01,4.0000,1.0000,,,0,5.0000,199.0000,204
2005-08-02,4.0000,1.0000,,,0,5.0000,167.0000,172
2005-08-03,1.0000,1.0000,,,0,2.0000,169.0000,171
2005-08-04,,1.0000,,,0,1.0000,179.0000,180
2005-08-05,1.0000,,,,0,1.0000,104.0000,105
2005-08-07,3.0000,,,,0,3.0000,85.0000,88
2005-08-08,3.0000,1.0000,,,0,4.0000,192.0000,196
